Date (Decimal Years),Surface Mass Change (Gt)
1958.0383561643835,46.39613723754883
1958.1216894977167,46.26939010620117
1958.2050228310502,56.522727966308594
1958.2883561643835,61.794193267822266
1958.3716894977167,27.960878372192383
1958.4550228310502,1.7533074617385864
1958.5383561643835,-85.68344116210938
1958.6216894977167,-33.68596649169922
1958.7050228310502,94.79653930664062
1958.7883561643835,75.71939849853516
1958.8716894977167,74.56631469726562
1958.9550228310502,60.81153106689453
1959.0383561643835,35.9520149230957
1959.1216894977167,64.31526947021484
1959.2050228310502,71.60303497314453
1959.2883561643835,24.194190979003906
1959.3716894977167,40.263301849365234
1959.4550228310502,-32.80121994018555
1959.5383561643835,-96.73876953125
1959.6216894977167,-8.737432479858398
1959.7050228310502,79.34197998046875
1959.7883561643835,117.15745544433594
1959.8716894977167,47.20981216430664
1959.9550228310502,56.519508361816406
1960.0383561643835,71.67208862304688
1960.1216894977167,39.65568161010742
1960.2050228310502,96.517578125
1960.2883561643835,42.69204330444336
1960.3716894977167,57.4999885559082
1960.4550228310502,-7.543424606323242
1960.5383561643835,-145.82028198242188
1960.6216894977167,-63.11479949951172
1960.7050228310502,59.291996002197266
1960.7883561643835,73.09477233886719
1960.8716894977167,72.15266418457031
1960.9550228310502,49.188358306884766
1961.0383561643835,77.66043090820312
1961.1216894977167,41.83835983276367
1961.2050228310502,46.7764778137207
1961.2883561643835,25.820703506469727
1961.3716894977167,65.33341217041016
1961.4550228310502,-10.578405380249023
1961.5383561643835,-77.1291275024414
1961.6216894977167,-19.964107513427734
1961.7050228310502,49.27783966064453
1961.7883561643835,70.68162536621094
1961.8716894977167,56.81773376464844
1961.9550228310502,43.627296447753906
1962.0383561643835,49.50346755981445
1962.1216894977167,62.247440338134766
1962.2050228310502,24.467153549194336
1962.2883561643835,57.16218566894531
1962.3716894977167,33.27314376831055
1962.4550228310502,-4.05962610244751
1962.5383561643835,-126.6668930053711
1962.6216894977167,-10.399801254272461
1962.7050228310502,47.6607551574707
1962.7883561643835,50.71268844604492
1962.8716894977167,72.48626708984375
1962.9550228310502,60.35853958129883
1963.0383561643835,68.87918853759766
1963.1216894977167,46.90552520751953
1963.2050228310502,58.408843994140625
1963.2883561643835,36.39349365234375
1963.3716894977167,40.08564758300781
1963.4550228310502,26.329627990722656
1963.5383561643835,-66.49597930908203
1963.6216894977167,-43.51979064941406
1963.7050228310502,64.888671875
1963.7883561643835,58.1501350402832
1963.8716894977167,45.37053298950195
1963.9550228310502,68.43287658691406
1964.0383561643835,84.98161315917969
1964.1216894977167,78.56566619873047
1964.2050228310502,107.029296875
1964.2883561643835,37.35918045043945
1964.3716894977167,41.56632995605469
1964.4550228310502,15.129236221313477
1964.5383561643835,15.275595664978027
1964.6216894977167,-17.350454330444336
1964.7050228310502,30.469545364379883
1964.7883561643835,79.9906005859375
1964.8716894977167,48.97613525390625
1964.9550228310502,52.6269416809082
1965.0383561643835,64.87962341308594
1965.1216894977167,104.71422576904297
1965.2050228310502,34.95212936401367
1965.2883561643835,46.62422561645508
1965.3716894977167,16.686626434326172
1965.4550228310502,10.937546730041504
1965.5383561643835,-73.23458099365234
1965.6216894977167,-42.31327819824219
1965.7050228310502,44.85107421875
1965.7883561643835,71.5611343383789
1965.8716894977167,52.06797790527344
1965.9550228310502,28.648181915283203
1966.0383561643835,33.427852630615234
1966.1216894977167,21.409095764160156
1966.2050228310502,28.69819450378418
1966.2883561643835,35.96714782714844
1966.3716894977167,9.89041805267334
1966.4550228310502,-31.21136474609375
1966.5383561643835,-82.42510223388672
1966.6216894977167,-68.51158905029297
1966.7050228310502,65.44263458251953
1966.7883561643835,66.79551696777344
1966.8716894977167,68.99158477783203
1966.9550228310502,31.45049285888672
1967.0383561643835,74.26502227783203
1967.1216894977167,74.118408203125
1967.2050228310502,21.92307472229004
1967.2883561643835,54.19782638549805
1967.3716894977167,22.80362892150879
1967.4550228310502,17.152896881103516
1967.5383561643835,-90.61601257324219
1967.6216894977167,-6.665640830993652
1967.7050228310502,101.65581512451172
1967.7883561643835,43.00053787231445
1967.8716894977167,66.18598937988281
1967.9550228310502,42.70568084716797
1968.0383561643835,31.45928192138672
1968.1216894977167,49.953773498535156
1968.2050228310502,59.12748336791992
1968.2883561643835,52.709049224853516
1968.3716894977167,32.00554656982422
1968.4550228310502,-31.865467071533203
1968.5383561643835,-116.75235748291016
1968.6216894977167,-15.407200813293457
1968.7050228310502,61.422176361083984
1968.7883561643835,40.6643180847168
1968.8716894977167,66.1028823852539
1968.9550228310502,53.08494186401367
1969.0383561643835,27.972421646118164
1969.1216894977167,54.12251281738281
1969.2050228310502,42.58945846557617
1969.2883561643835,38.2906608581543
1969.3716894977167,45.47039794921875
1969.4550228310502,-1.9040061235427856
1969.5383561643835,-72.44868469238281
1969.6216894977167,-37.340415954589844
1969.7050228310502,45.445674896240234
1969.7883561643835,38.290958404541016
1969.8716894977167,81.33527374267578
1969.9550228310502,69.35857391357422
1970.0383561643835,59.30780792236328
1970.1216894977167,46.065155029296875
1970.2050228310502,42.51566696166992
1970.2883561643835,40.32402420043945
1970.3716894977167,41.74937057495117
1970.4550228310502,29.029775619506836
1970.5383561643835,-75.75593566894531
1970.6216894977167,6.836254119873047
1970.7050228310502,63.39040756225586
1970.7883561643835,75.20579528808594
1970.8716894977167,51.55997085571289
1970.9550228310502,78.81964111328125
1971.0383561643835,29.223146438598633
1971.1216894977167,40.70841598510742
1971.2050228310502,23.90879249572754
1971.2883561643835,30.637910842895508
1971.3716894977167,48.006492614746094
