Participant-Surname,Experiment-Group,Drainage-Region-Set,Drainage-Region-ID,Drainage-Region-Area-(km2),Drainage-Region-Area-Observed-(km2),Start-Date-(decimal-years),End-Date-(decimal-years),Rate-of-Mass-Change-(Gt/yr),Rate-of-Mass-Change-Uncertainty-(Gt/yr)
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 2016.4987, 2017.4958,  0.58146E+01,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 2017.4987, 2018.4958,  0.37179E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 2018.4987, 2019.4958, -0.11984E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 2019.4987, 2020.4958,  0.19413E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 2020.4987, 2021.4958,  0.19799E+02,  0.36033E+02
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1979.4987, 1980.4958,  0.13256E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1980.4987, 1981.4958,  0.43824E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1981.4987, 1982.4958,  0.39697E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1982.4987, 1983.4958,  0.46330E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1983.4987, 1984.4958,  0.22202E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1984.4987, 1985.4958,  0.27293E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1985.4987, 1986.4958,  0.33149E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1986.4987, 1987.4958,  0.33731E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1987.4987, 1988.4958,  0.33486E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1988.4987, 1989.4958,  0.39923E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1989.4987, 1990.4958,  0.21488E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1990.4987, 1991.4958,  0.35093E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1991.4987, 1992.4958,  0.25046E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1992.4987, 1993.4958,  0.41874E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1993.4987, 1994.4958,  0.28040E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1994.4987, 1995.4958,  0.43884E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1995.4987, 1996.4958,  0.41878E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1996.4987, 1997.4958,  0.32953E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1997.4987, 1998.4958,  0.19367E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1998.4987, 1999.4958,  0.33921E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 1999.4987, 2000.4958,  0.49539E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2000.4987, 2001.4958,  0.25141E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2001.4987, 2002.4958,  0.66730E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2002.4987, 2003.4958,  0.51529E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2003.4987, 2004.4958,  0.27540E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2004.4987, 2005.4958,  0.30675E+02,  0.46227E+01
