Year,Surface mass balance anomaly (Gt/yr),Surface mass balance anomaly uncertainty (Gt/yr),Cumulative surface mass balance anomaly (Gt),Cumulative surface mass balance anomaly uncertainty (Gt),Dynamics mass balance anomaly (Gt/yr),Dynamics mass balance anomaly uncertainty (Gt/yr),Cumulative dynamics mass balance anomaly (Gt),Cumulative dynamics mass balance anomaly uncertainty (Gt),Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
1950.0,-191.7060274301117,100.57928759618582,-15.975502285842643,29.034739384279337,,,,,,,,
1950.0833,-191.7060274301117,100.57928759618582,-31.951004571685285,29.034739384279337,,,,,,,,
1950.1667,-191.7060274301117,100.57928759618582,-47.926506857527926,41.06132221721609,,,,,,,,
1950.25,-191.7060274301117,100.57928759618582,-63.90200914337057,50.28964379809292,,,,,,,,
1950.3333,-191.7060274301117,100.57928759618582,-79.87751142921321,58.069478768558675,,,,,,,,
1950.4167,-191.7060274301117,100.57928759618582,-95.85301371505585,64.92365097223899,,,,,,,,
1950.5,-191.7060274301117,100.57928759618582,-111.8285160008985,71.120296306175,,,,,,,,
1950.5833,-191.7060274301117,100.57928759618582,-127.80401828674114,76.81869979237577,,,,,,,,
1950.6667,-191.7060274301117,100.57928759618582,-143.77952057258378,82.12264443443217,,,,,,,,
1950.75,-191.7060274301117,100.57928759618582,-159.7550228584264,87.10421815283802,,,,,,,,
1950.8333,-191.7060274301117,100.57928759618582,-175.73052514426902,91.81590772371754,,,,,,,,
1950.9167,-191.7060274301117,100.57928759618582,-191.70602743011167,96.29733642340912,,,,,,,,
1951.0,-206.78782743031013,149.56512119175304,-208.93834638263752,100.57928759618582,,,,,,,,
1951.0833,-206.78782743031013,149.56512119175304,-226.17066533516336,109.4547252662712,,,,,,,,
1951.1667,-206.78782743031013,149.56512119175304,-243.40298428768924,117.66257124877714,,,,,,,,
1951.25,-206.78782743031013,149.56512119175304,-260.6353032402151,125.33405148893976,,,,,,,,
1951.3333,-206.78782743031013,149.56512119175304,-277.86762219274095,132.56231837287265,,,,,,,,
1951.4167,-206.78782743031013,149.56512119175304,-295.09994114526677,139.41632631133808,,,,,,,,
1951.5,-206.78782743031013,149.56512119175304,-312.33226009779264,145.94881236895404,,,,,,,,
1951.5833,-206.78782743031013,149.56512119175304,-329.5645790503185,152.2011814069352,,,,,,,,
1951.6667,-206.78782743031013,149.56512119175304,-346.79689800284433,158.20664781046796,,,,,,,,
1951.75,-206.78782743031013,149.56512119175304,-364.0292169553702,163.99233884905752,,,,,,,,
1951.8333,-206.78782743031013,149.56512119175304,-381.2615359078961,169.58075064977965,,,,,,,,
1951.9167,-206.78782743031013,149.56512119175304,-398.4938548604219,174.99078484509232,,,,,,,,
1952.0,-52.30122742895412,155.88127586181324,-402.8522904795014,180.23850468326694,,,,,,,,
1952.0833,-52.30122742895412,155.88127586181324,-407.2107260985809,185.7709151548907,,,,,,,,
1952.1667,-52.30122742895412,155.88127586181324,-411.5691617176604,191.14326371732582,,,,,,,,
1952.25,-52.30122742895412,155.88127586181324,-415.9275973367399,196.3686879610309,,,,,,,,
1952.3333,-52.30122742895412,155.88127586181324,-420.2860329558194,201.45862095865317,,,,,,,,
1952.4167,-52.30122742895412,155.88127586181324,-424.6444685748989,206.42308568953194,,,,,,,,
1952.5,-52.30122742895412,155.88127586181324,-429.0029041939784,211.27092713530985,,,,,,,,
1952.5833,-52.30122742895412,155.88127586181324,-433.3613398130579,216.00999745298589,,,,,,,,
1952.6667,-52.30122742895412,155.88127586181324,-437.7197754321374,220.64730532382333,,,,,,,,
1952.75,-52.30122742895412,155.88127586181324,-442.0782110512169,225.18913760146174,,,,,,,,
1952.8333,-52.30122742895412,155.88127586181324,-446.4366466702964,229.64115929143804,,,,,,,,
1952.9167,-52.30122742895412,155.88127586181324,-450.7950822893759,234.0084964007529,,,,,,,,
1953.0,-25.976577436858577,119.31044949524536,-452.95979707578084,238.2958051136586,,,,,,,,
1953.0833,-25.976577436858577,119.31044949524536,-455.1245118621857,240.77196545278383,,,,,,,,
1953.1667,-25.976577436858577,119.31044949524536,-457.2892266485906,243.22291824831458,,,,,,,,
1953.25,-25.976577436858577,119.31044949524536,-459.45394143499556,245.64941802181437,,,,,,,,
1953.3333,-25.976577436858577,119.31044949524536,-461.61865622140044,248.05218238847633,,,,,,,,
1953.4167,-25.976577436858577,119.31044949524536,-463.78337100780533,250.4318945360509,,,,,,,,
1953.5,-25.976577436858577,119.31044949524536,-465.9480857942103,252.7892054937186,,,,,,,,
1953.5833,-25.976577436858577,119.31044949524536,-468.11280058061516,255.12473621226007,,,,,,,,
1953.6667,-25.976577436858577,119.31044949524536,-470.27751536702004,257.4390794743585,,,,,,,,
1953.75,-25.976577436858577,119.31044949524536,-472.442230153425,259.73280165168757,,,,,,,,
1953.8333,-25.976577436858577,119.31044949524536,-474.6069449398299,262.00644432354073,,,,,,,,
1953.9167,-25.976577436858577,119.31044949524536,-476.77165972623476,264.260525770109,,,,,,,,
1954.0,60.981472572400946,119.43368587018927,-471.68987034520137,266.4955423520706,,,,,,,,
1954.0833,60.981472572400946,119.43368587018927,-466.608080964168,268.71653193821646,,,,,,,,
1954.1667,60.981472572400946,119.43368587018927,-461.52629158313454,270.91931452054274,,,,,,,,
1954.25,60.981472572400946,119.43368587018927,-456.44450220210115,273.1043306570934,,,,,,,,
1954.3333,60.981472572400946,119.43368587018927,-451.36271282106776,275.2720034203211,,,,,,,,
1954.4167,60.981472572400946,119.43368587018927,-446.2809234400343,277.42273935352796,,,,,,,,
1954.5,60.981472572400946,119.43368587018927,-441.1991340590009,279.55692936107624,,,,,,,,
1954.5833,60.981472572400946,119.43368587018927,-436.11734467796754,281.6749495378885,,,,,,,,
1954.6667,60.981472572400946,119.43368587018927,-431.0355552969341,283.7771619432232,,,,,,,,
1954.75,60.981472572400946,119.43368587018927,-425.9537659159007,285.8639153232331,,,,,,,,
1954.8333,60.981472572400946,119.43368587018927,-420.8719765348673,287.9355457863909,,,,,,,,
1954.9167,60.981472572400946,119.43368587018927,-415.79018715383387,289.9923774354854,,,,,,,,
1955.0,66.89427257230415,130.06845232723526,-410.2156644394752,292.03472295955373,,,,,,,,
1955.0833,66.89427257230415,130.06845232723526,-404.6411417251165,294.43861205967903,,,,,,,,
1955.1667,66.89427257230415,130.06845232723526,-399.06661901075773,296.82303335354055,,,,,,,,
1955.25,66.89427257230415,130.06845232723526,-393.49209629639904,299.1884522951444,,,,,,,,
1955.3333,66.89427257230415,130.06845232723526,-387.91757358204035,301.53531608143476,,,,,,,,
1955.4167,66.89427257230415,130.06845232723526,-382.3430508676816,303.86405463940224,,,,,,,,
1955.5,66.89427257230415,130.06845232723526,-376.7685281533229,306.1750815456158,,,,,,,,
1955.5833,66.89427257230415,130.06845232723526,-371.1940054389642,308.46879488374725,,,,,,,,
1955.6667,66.89427257230415,130.06845232723526,-365.61948272460546,310.74557804512386,,,,,,,,
1955.75,66.89427257230415,130.06845232723526,-360.04496001024677,313.0058004768682,,,,,,,,
1955.8333,66.89427257230415,130.06845232723526,-354.4704372958881,315.24981838175887,,,,,,,,
1955.9167,66.89427257230415,130.06845232723526,-348.8959145815293,317.4779753735663,,,,,,,,
1956.0,52.05652255785202,148.50179766007093,-344.55787103504167,319.69060309127883,,,,,,,,
1956.0833,52.05652255785202,148.50179766007093,-340.219827488554,322.5520325423816,,,,,,,,
1956.1667,52.05652255785202,148.50179766007093,-335.8817839420663,325.38829986583363,,,,,,,,
1956.25,52.05652255785202,148.50179766007093,-331.54374039557865,328.2000574069629,,,,,,,,
1956.3333,52.05652255785202,148.50179766007093,-327.205696849091,330.98792980151075,,,,,,,,
1956.4167,52.05652255785202,148.50179766007093,-322.8676533026033,333.75251559598144,,,,,,,,
1956.5,52.05652255785202,148.50179766007093,-318.52960975611563,336.49438874816605,,,,,,,,
1956.5833,52.05652255785202,148.50179766007093,-314.191566209628,339.2141000184956,,,,,,,,
1956.6667,52.05652255785202,148.50179766007093,-309.85352266314027,341.91217826177825,,,,,,,,
1956.75,52.05652255785202,148.50179766007093,-305.5154791166526,344.58913162789986,,,,,,,,
1956.8333,52.05652255785202,148.50179766007093,-301.17743557016496,347.2454486792104,,,,,,,,
1956.9167,52.05652255785202,148.50179766007093,-296.83939202367725,349.8815994315537,,,,,,,,
1957.0,-200.7574774326563,162.6821100865002,-313.56918180973196,352.498036325223,,,,,,,,
1957.0833,-200.7574774326563,162.6821100865002,-330.29897159578667,355.6126001118651,,,,,,,,
1957.1667,-200.7574774326563,162.6821100865002,-347.0287613818414,358.70012141551365,,,,,,,,
1957.25,-200.7574774326563,162.6821100865002,-363.7585511678961,361.76129263464225,,,,,,,,
1957.3333,-200.7574774326563,162.6821100865002,-380.48834095395085,364.7967771155199,,,,,,,,
1957.4167,-200.7574774326563,162.6821100865002,-397.21813074000556,367.80721083069227,,,,,,,,
1957.5,-200.7574774326563,162.6821100865002,-413.9479205260603,370.7932039348029,,,,,,,,
1957.5833,-200.7574774326563,162.6821100865002,-430.67771031211504,373.7553422085353,,,,,,,,
1957.6667,-200.7574774326563,162.6821100865002,-447.40750009816975,376.69418840035524,,,,,,,,
1957.75,-200.7574774326563,162.6821100865002,-464.13728988422446,379.61028347475695,,,,,,,,
1957.8333,-200.7574774326563,162.6821100865002,-480.8670796702792,382.5041477748553,,,,,,,,
1957.9167,-200.7574774326563,162.6821100865002,-497.59686945633393,385.3762821063997,,,,,,,,
1958.0,-40.2329955483151,119.00292518988353,-500.94961908536015,388.2271687496052,,,,,,,,
1958.0833,-40.2329955483151,119.00292518988353,-504.3023687143864,389.744115934605,,,,,,,,
1958.1667,-40.2329955483151,119.00292518988353,-507.6551183434126,391.25518176243907,,,,,,,,
1958.25,-40.2329955483151,119.00292518988353,-511.0078679724388,392.76043411508704,,,,,,,,
1958.3333,-40.2329955483151,119.00292518988353,-514.360617601465,394.25993957867956,,,,,,,,
1958.4167,-40.2329955483151,119.00292518988353,-517.7133672304913,395.75376347786823,,,,,,,,
1958.5,-40.2329955483151,119.00292518988353,-521.0661168595175,397.2419699090328,,,,,,,,
1958.5833,-40.2329955483151,119.00292518988353,-524.4188664885437,398.7246217723722,,,,,,,,
1958.6667,-40.2329955483151,119.00292518988353,-527.7716161175699,400.2017808029267,,,,,,,,
