Year,Surface mass balance anomaly (Gt/yr),Surface mass balance anomaly uncertainty (Gt/yr),Cumulative surface mass balance anomaly (Gt),Cumulative surface mass balance anomaly uncertainty (Gt),Dynamics mass balance anomaly (Gt/yr),Dynamics mass balance anomaly uncertainty (Gt/yr),Cumulative dynamics mass balance anomaly (Gt),Cumulative dynamics mass balance anomaly uncertainty (Gt),Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
1979.0,119.40189674479882,271.59632072516166,9.950158062066569,78.40310444079202,,,,,,,,
1979.0833333333333,119.40189674479882,147.56837276121516,19.900316124133138,78.40310444079202,,,,,,,,
1979.1666666666665,119.40189674479882,288.1627703354077,29.850474186199705,89.22863239586543,,,,,,,,
1979.2499999999998,119.40189674479882,219.1058475420046,39.800632248266275,121.99001607994224,,,,,,,,
1979.333333333333,119.40189674479882,263.8488645515193,49.75079031033284,137.41243900065808,,,,,,,,
1979.4166666666663,119.40189674479882,206.27280875378395,59.70094837239941,157.10993073599798,,,,,,,,
1979.4999999999995,119.40189674479882,216.52116220698105,69.65110643446597,168.0155835187161,,,,,,,,
1979.5833333333328,119.40189674479882,232.24115253426615,79.60126449653255,179.26522467772853,,,,,,,,
1979.666666666666,119.40189674479882,195.5702986534942,89.5514225585991,191.39144056869466,,,,,,,,
1979.7499999999993,119.40189674479882,197.3112420283641,99.50158062066566,199.54446956149462,,,,,,,,
1979.8333333333326,119.40189674479882,200.6696245943981,109.45173868273223,207.5145919009301,,,,,,,,
1979.9166666666658,119.40189674479882,112.62839898986553,119.40189674479878,215.44836358482968,,,,,,,,
1979.999999999999,119.40189674479882,151.62841056315278,129.35205480686534,217.8878007743878,,,,,,,,
1980.0833333333323,119.40189674479882,98.86581554305845,139.3022128689319,222.24091650082119,,,,,,,,
1980.1666666666656,119.40189674479882,138.40733668167974,149.25237093099847,224.06597783697808,,,,,,,,
1980.2499999999989,119.40189674479882,132.36127086634582,159.20252899306502,227.6004064026486,,,,,,,,
1980.3333333333321,119.40189674479882,145.71924490427483,169.15268705513157,230.78540644957818,,,,,,,,
1980.4166666666654,119.40189674479882,133.24438543031425,179.10284511719814,234.5877490934249,,,,,,,,
1980.4999999999986,119.40189674479882,130.99286661324766,189.0530031792647,237.72025060024828,,,,,,,,
1980.583333333332,119.40189674479882,123.86660259152058,199.00316124133124,240.70904664637735,,,,,,,,
1980.6666666666652,112.46721010134819,107.91496187764706,208.37542874977692,243.3504121095168,,,,,,,,
1980.7499999999984,103.47327904662572,106.51318659046399,216.99820200366239,245.3362855149903,,,,,,,,
1980.8333333333317,97.01359953487514,82.99085646286557,225.08266863156862,247.25556528977074,,,,,,,,
1980.916666666665,94.35015750252175,75.22464968210882,232.94518175677877,248.41350893513706,,,,,,,,
1980.9999999999982,97.89447886226723,71.84127533505412,241.10305499530102,249.3608504719958,,,,,,,,
1981.0833333333314,106.45317882828928,92.23862599767122,249.9741532309918,250.22176394470097,,,,,,,,
1981.1666666666647,116.65413459606202,113.32018205349016,259.69533111399693,251.63451305830944,,,,,,,,
1981.249999999998,126.85274423887724,132.18494187491697,270.26639313390336,253.75194606901474,,,,,,,,
1981.3333333333312,137.41917743551696,129.42414409242116,281.71799125352976,256.60499158307846,,,,,,,,
1981.4166666666645,146.736082818556,162.30747728305175,293.9459981550761,259.3106357148824,,,,,,,,
1981.4999999999977,149.0446697103767,149.77202556618323,306.3663872976075,263.509611893043,,,,,,,,
1981.583333333331,142.34295132447843,129.03895144188118,318.22829990798067,267.0329952088416,,,,,,,,
1981.6666666666642,129.52369545585552,121.02451796687188,329.0219411959686,269.61863457973425,,,,,,,,
1981.7499999999975,115.95601343982707,105.87894967638628,338.68494231595423,271.8727385041264,,,,,,,,
1981.8333333333308,105.67797960722774,93.44402627341329,347.49144061655653,273.5854198243167,,,,,,,,
1981.916666666664,99.8616387155765,89.28186347336364,355.81324384285455,274.91204189272946,,,,,,,,
1981.9999999999973,99.10051281598993,74.59025872225068,364.0716199108537,276.117550522242,,,,,,,,
1982.0833333333305,100.11925055342846,73.82436415843715,372.41489079030606,276.9558519531417,,,,,,,,
1982.1666666666638,102.89796194947813,102.7789702466042,380.9897209527626,277.77457345787974,,,,,,,,
1982.249999999997,106.91405326881994,114.83240290029022,389.8992253918309,279.3546253780662,,,,,,,,
1982.3333333333303,112.09472051388184,141.55323543732104,399.24045210132107,281.3145572423171,,,,,,,,
1982.4166666666636,113.31774727974565,168.70076326541994,408.68359770796656,284.2668757611506,,,,,,,,
1982.4999999999968,107.38788143151595,146.8985232179736,417.63258782725956,288.40825048681717,,,,,,,,
1982.58333333333,94.03910104305733,114.56420860150233,425.46917958084765,291.50914844278066,,,,,,,,
1982.6666666666633,75.13725688143296,110.70179515363898,431.73061765430043,293.37915760475533,,,,,,,,
1982.7499999999966,55.40568297283624,122.94056521731633,436.3477579020368,295.11450445162643,,,,,,,,
1982.8333333333298,40.6117249795366,91.6822726225084,439.7320683169982,297.24081586999193,,,,,,,,
1982.916666666663,30.62463789404509,74.50590701412136,442.2841214748353,298.4167765812787,,,,,,,,
1982.9999999999964,26.60856474083669,68.99079021021048,444.501501869905,299.1908533475367,,,,,,,,
1983.0833333333296,27.75901023050077,82.98771257112682,446.8147527224467,299.85298201170684,,,,,,,,
1983.1666666666629,33.32853802877541,109.13307146343439,449.5921308915113,300.80845099685723,,,,,,,,
1983.2499999999961,41.36263632483644,130.02776842135788,453.0390172519144,302.4536765606411,,,,,,,,
1983.3333333333294,50.265817302647214,125.8071037788331,457.22783536046836,304.77395149810417,,,,,,,,
1983.4166666666626,57.69789799395574,126.61339669656874,462.03599352663133,306.93014480801696,,,,,,,,
1983.499999999996,60.22896574332869,106.22787990347153,467.05507400524203,309.09873257120256,,,,,,,,
1983.5833333333292,56.5055672298572,107.03278052850325,471.76387127439676,310.61614577511796,,,,,,,,
1983.6666666666624,45.786619307746754,134.56148473357786,475.5794228833757,312.1490958262754,,,,,,,,
1983.7499999999957,30.857968255714336,109.67789685330001,478.1509202380186,314.55676348840973,,,,,,,,
1983.833333333329,17.984986244628214,77.94174049591955,479.6496690917376,316.1461595704592,,,,,,,,
1983.9166666666622,8.773382458740024,76.69388878720973,480.3807842966326,316.945795240203,,,,,,,,
1983.9999999999955,6.994338725691777,75.65973935062175,480.96364585710694,317.71811379778154,,,,,,,,
1984.0833333333287,13.932707476555402,91.88442982440213,482.1247048134865,318.4679463437994,,,,,,,,
1984.166666666662,24.989818066071578,142.0540251587223,484.2071896523258,319.57064198512256,,,,,,,,
1984.2499999999952,37.04448355700323,137.8886847890087,487.2942299487427,322.19094864810575,,,,,,,,
1984.3333333333285,50.600669150794374,153.55570479309216,491.5109523779756,324.64049065620753,,,,,,,,
1984.4166666666617,63.70704523542336,117.95454081673819,496.8198728142609,327.652856510838,,,,,,,,
1984.499999999995,72.82282215486714,116.20602563574701,502.8884413271665,329.4174158338512,,,,,,,,
1984.5833333333283,74.24775087397181,121.40217090334757,509.07575389999755,331.12105624301574,,,,,,,,
1984.6666666666615,69.00938995496895,120.12906553995367,514.8265363962449,332.9705109252583,,,,,,,,
1984.7499999999948,61.076636924172654,114.4903238777265,519.9162561399261,334.7714800349427,,,,,,,,
1984.833333333328,55.09609287417871,98.93909594196865,524.5075972127743,336.39898934636375,,,,,,,,
1984.9166666666613,52.19174683335698,80.95649794946266,528.8569094488873,337.60927923474816,,,,,,,,
1984.9999999999945,50.88398653166854,78.78715670028646,533.0972416598597,338.4171808661999,,,,,,,,
1985.0833333333278,50.786860649219975,79.24774183806714,537.3294800472947,339.18059050772524,,,,,,,,
1985.166666666661,51.59291342734373,101.32813087137482,541.6288894995733,339.95120732153896,,,,,,,,
1985.2499999999943,54.58142273770509,122.19811689974281,546.1773413943821,341.20732583215323,,,,,,,,
1985.3333333333276,60.271271774326024,125.80178483367058,551.199947375576,343.02595263723526,,,,,,,,
1985.4166666666608,64.71196770881156,135.74351237696317,556.5926113513102,344.9429589632091,,,,,,,,
1985.499999999994,62.66358226952033,144.5743652925916,561.814576540437,347.16159066683974,,,,,,,,
1985.5833333333273,52.83683953689321,126.70626193993682,566.2176465018448,349.66123933407795,,,,,,,,
1985.6666666666606,36.85283815910868,115.54301731528527,569.2887163484371,351.56913311686327,,,,,,,,
1985.7499999999939,19.870581019363627,108.52370467474219,570.9445981000507,353.1478034733749,,,,,,,,
1985.8333333333271,7.223126988509666,109.29560674334144,571.5465253490933,354.53465364864354,,,,,,,,
1985.9166666666604,-3.3018490813076293,94.26916717216365,571.2713712589842,355.9357827505029,,,,,,,,
1985.9999999999936,-10.62476169115305,74.92088176506883,570.3859744513882,356.9745617904601,,,,,,,,
1986.083333333327,-16.47328348562295,92.94549047508885,569.0132008275863,357.62913654957646,,,,,,,,
1986.1666666666601,-20.287330597365933,108.96154481135724,567.3225899444724,358.634221260558,,,,,,,,
1986.2499999999934,-22.0110990690199,125.9249338332246,565.4883316887207,360.0109574903797,,,,,,,,
1986.3333333333267,-22.38710151272574,112.73897838555332,563.6227398959935,361.8415586872452,,,,,,,,
1986.41666666666,-22.77818231525283,108.0762112007238,561.7245580363891,363.30219748463765,,,,,,,,
1986.4999999999932,-28.840371854564193,125.28814077059658,559.3211937151755,364.63935468184445,,,,,,,,
1986.5833333333264,-41.615577886140315,121.81508477129961,555.8532288913304,366.42864539716965,,,,,,,,
1986.6666666666597,-58.97070845280137,110.32859067719411,550.9390031869303,368.11211391018446,,,,,,,,
1986.749999999993,-78.73992907711676,131.36738217215594,544.377342430504,369.48734065029333,,,,,,,,
1986.8333333333262,-94.79493492394329,104.21122897369209,536.4777645201754,371.42833852448086,,,,,,,,
1986.9166666666595,-106.4626347586105,68.24263662409486,527.6058782902911,372.64461489835094,,,,,,,,
1986.9999999999927,-114.86328944319273,67.26549148413184,518.0339375033583,373.1649730800811,,,,,,,,
1987.083333333326,-118.8417381288593,89.22520074873603,508.1304593259534,373.66984223497064,,,,,,,,
1987.1666666666592,-116.80049527518766,108.19210139829133,498.3970847196877,374.55650979965026,,,,,,,,
1987.2499999999925,-110.26432208753515,100.71283981465102,489.2083912123931,375.85640866388104,,,,,,,,
1987.3333333333258,-102.67739730383218,105.36560710110248,480.65194143707373,376.97917220407726,,,,,,,,
1987.416666666659,-96.5427184595583,127.82986524669649,472.6067148987772,378.20425108529207,,,,,,,,
1987.4999999999923,-94.08557993538429,114.03430923494045,464.7662499041619,380.0002128197681,,,,,,,,
1987.5833333333255,-98.26104521179178,112.72859237823363,456.57782946984594,381.42340478348535,,,,,,,,
1987.6666666666588,-108.2775079540722,104.48460069067507,447.55470380700655,382.80907993183496,,,,,,,,
1987.749999999992,-118.51791052733216,107.89067899382847,437.6782112630622,383.99550039904824,,,,,,,,
1987.8333333333253,-125.60845266464167,91.74212849347242,427.2108402076754,385.25650876335357,,,,,,,,
1987.9166666666586,-129.76050120343652,62.57786650513778,416.39746510738905,386.16571881715583,,,,,,,,
1987.9999999999918,-131.92028903105643,75.82237676861081,405.4041076881344,386.5880169348224,,,,,,,,
1988.083333333325,-130.82375752370163,93.60648206421513,394.50212789449256,387.20715502923673,,,,,,,,
1988.1666666666583,-124.7302894746011,112.02911964254295,384.1079371049425,388.14889157324484,,,,,,,,
1988.2499999999916,-115.32001858941582,137.36891919414853,374.49793555582454,389.4938240847927,,,,,,,,
1988.3333333333248,-102.74560139562185,131.103014752873,365.9358021061894,391.50728898737356,,,,,,,,
1988.416666666658,-88.75573909528254,108.20187625725552,358.5394905149158,393.33229044072965,,,,,,,,
1988.4999999999914,-79.65100860950096,117.961957347907,351.90190646412407,394.5705613349147,,,,,,,,
1988.5833333333246,-76.34539265384483,133.05232883269696,345.53979040963696,396.03726233011054,,,,,,,,
1988.6666666666579,-77.2769674604642,125.47479578667041,339.10004312126495,397.89540921107124,,,,,,,,
1988.7499999999911,-79.42753808479554,96.59273630270388,332.4810816141987,399.54067423653885,,,,,,,,
1988.8333333333244,-80.27561473722918,75.74577711053809,325.79144705276286,400.5125009637756,,,,,,,,
1988.9166666666576,-80.47241347598109,62.95693600406888,319.0854125964311,401.1089403027125,,,,,,,,
1988.999999999991,-79.24644277947414,59.00211348063591,312.48154236480826,401.5204602175959,,,,,,,,
1989.0833333333242,-75.3519259602882,76.7701928288925,306.2022152014509,401.88155480143047,,,,,,,,
1989.1666666666574,-68.77256950801822,112.9653055358369,300.4711677424494,402.49213983861097,,,,,,,,
1989.2499999999907,-60.857668027995736,114.95778480068373,295.3996954067831,403.81103582380916,,,,,,,,
1989.333333333324,-52.59820427511597,117.45664455836466,291.0165117171901,405.1723423560494,,,,,,,,
1989.4166666666572,-46.89443681930152,111.2499210845838,287.1086419822483,406.5886114442913,,,,,,,,
