Year,Surface mass balance anomaly (Gt/yr),Surface mass balance anomaly uncertainty (Gt/yr),Cumulative surface mass balance anomaly (Gt),Cumulative surface mass balance anomaly uncertainty (Gt),Dynamics mass balance anomaly (Gt/yr),Dynamics mass balance anomaly uncertainty (Gt/yr),Cumulative dynamics mass balance anomaly (Gt),Cumulative dynamics mass balance anomaly uncertainty (Gt),Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
1995.4167,0.3088079839662896,55.81576896275506,150.40189717780197,260.0173951654585,-20.98400798396629,90.97606439137523,-84.18484755591085,172.91062940824858,-20.6752,71.8418,-127.0959,139.4155
1995.5,0.3088079839662896,55.81576896275506,150.42763117646584,260.5161462572052,-20.98400798396629,90.97606439137523,-85.93351488790803,174.8936994863889,-20.6752,71.8418,-128.8188,140.9496
1995.5833,0.3088079839662896,55.81576896275506,150.45336517512968,261.01394432631525,-20.98400798396629,90.97606439137523,-87.68218221990521,176.85453479544694,-20.6752,71.8418,-130.5417,142.4671
1995.6667,0.3088079839662896,55.81576896275506,150.47909917379354,261.5107948151589,-20.98400798396629,90.97606439137523,-89.4308495519024,178.7938668841652,-20.6752,71.8418,-132.2646,143.9687
1995.75,0.3088079839662896,55.81576896275506,150.5048331724574,262.00670311450324,-20.98400798396629,90.97606439137523,-91.17951688389958,180.71238804539996,-20.6752,71.8418,-133.9876,145.4548
1995.8333,0.3088079839662896,55.81576896275506,150.53056717112125,262.50167456419535,-20.98400798396629,90.97606439137523,-92.92818421589676,182.61075420344184,-20.6752,71.8418,-135.7105,146.9258
1995.9167,0.3088079839662896,55.81576896275506,150.55630116978512,262.995714453833,-20.98400798396629,90.97606439137523,-94.67685154789395,184.48958753389985,-20.6752,71.8418,-137.4334,148.3823
1996.0,36.1246553297849,58.17407918784096,153.56668911393385,263.4888280234237,-48.3763553297849,92.89254399763844,-98.7082144920427,186.34947884581578,-12.2517,72.421,-138.4544,149.8478
1996.0833,36.1246553297849,58.17407918784096,156.5770770580826,264.02344804443055,-48.3763553297849,92.89254399763844,-102.73957743619144,188.2689928275584,-12.2517,72.421,-139.4754,151.2992
1996.1667,36.1246553297849,58.17407918784096,159.58746500223134,264.5569877009165,-48.3763553297849,92.89254399763844,-106.77094038034018,190.1691327594974,-12.2517,72.421,-140.4964,152.7367
1996.25,36.1246553297849,58.17407918784096,162.59785294638007,265.0894535161587,-48.3763553297849,92.89254399763844,-110.80230332448893,192.05047370078378,-12.2517,72.421,-141.5173,154.1608
1996.3333,36.1246553297849,58.17407918784096,165.60824089052883,265.6208519480509,-48.3763553297849,92.89254399763844,-114.83366626863767,193.91356281315532,-12.2517,72.421,-142.5383,155.572
1996.4167,36.1246553297849,58.17407918784096,168.61862883467757,266.1511893900179,-48.3763553297849,92.89254399763844,-118.86502921278641,195.75892121966663,-12.2517,72.421,-143.5593,156.9704
1996.5,36.1246553297849,58.17407918784096,171.62901677882633,266.680472171912,-23.3092553297849,92.82130426530965,-120.80746715693516,197.58704570716105,12.8154,72.3296,-142.4914,158.353
1996.5833,36.1246553297849,58.17407918784096,174.6394047229751,267.2087065608954,-23.3092553297849,92.82130426530965,-122.74990510108391,199.39564566060577,12.8154,72.3296,-141.4234,159.7236
1996.6667,36.1246553297849,58.17407918784096,177.64979266712385,267.73589876230545,-23.3092553297849,92.82130426530965,-124.69234304523265,201.18798767703788,12.8154,72.3296,-140.3555,161.0826
1996.75,36.1246553297849,58.17407918784096,180.6601806112726,268.26205492050536,-23.3092553297849,92.82130426530965,-126.6347809893814,202.964502469427,12.8154,72.3296,-139.2875,162.4302
1996.8333,36.1246553297849,58.17407918784096,183.67056855542137,268.7871811197197,-23.3092553297849,92.82130426530965,-128.57721893353013,204.72560206234132,12.8154,72.3296,-138.2196,163.7667
1996.9167,36.1246553297849,58.17407918784096,186.68095649957013,269.3112833848552,-23.3092553297849,92.82130426530965,-130.5196568776789,206.4716809078529,12.8154,72.3296,-137.1516,165.0924
1997.0,-132.19098417342684,50.557500709020516,175.66504115178455,269.8343676823072,160.00358417342684,87.33862785035387,-117.18602486322665,208.2031169172074,27.8126,71.2178,-134.8339,166.3675
