Surname,Experiment Group,Drainage Region Set,Drainage Region ID,Drainage Region Area (km2),Drainage Region Area Observed (km2),Date (decimal years),Rate of Mass Change (Gt/month),Rate of Mass Change Uncertainty (Gt/month)
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.041,5.338,1.112
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.123,2.216,0.474
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.205,11.240,2.068
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.290,9.243,1.702
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.371,12.090,2.271
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.456,13.726,2.451
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.538,2.463,0.517
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.623,8.130,1.680
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.708,13.172,2.430
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.790,12.348,2.325
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.874,11.612,2.064
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.956,10.970,1.574
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.041,7.684,1.285
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.123,11.199,1.940
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.203,14.371,2.154
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.288,7.307,1.488
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.370,14.376,2.568
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.455,13.402,2.304
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.537,13.923,2.287
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.622,18.441,2.831
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.707,9.919,1.894
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.789,4.354,0.930
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.874,5.993,1.041
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.956,3.206,0.706
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.041,3.523,0.756
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.123,7.057,1.244
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.203,10.873,1.896
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.288,21.816,3.084
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.370,11.207,1.895
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.455,15.741,2.677
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.537,7.267,1.523
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.622,9.384,1.774
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.707,9.700,1.860
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.789,15.252,2.636
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.874,12.877,2.228
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.956,3.577,0.689
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.041,8.676,1.665
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.123,12.587,2.073
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.203,7.890,1.643
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.288,15.504,2.720
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.370,22.767,3.019
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.455,7.861,1.536
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.537,11.336,2.184
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.622,19.169,2.919
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.707,13.794,2.468
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.789,18.929,2.838
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.874,6.195,1.211
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1983.956,7.405,1.208
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.041,4.945,0.980
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.123,8.032,1.690
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.205,17.323,2.426
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.290,12.035,2.200
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.371,15.368,2.655
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.456,7.070,1.391
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.538,20.806,3.105
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.623,15.307,2.644
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.708,19.967,2.970
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.790,4.707,0.985
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.874,11.532,1.785
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1984.956,10.511,1.803
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.041,18.707,2.617
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.123,1.800,0.360
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.203,9.594,1.703
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.288,16.501,2.739
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.370,7.638,1.535
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.455,14.076,2.471
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.537,10.236,1.850
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.622,18.420,2.886
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.707,10.914,2.157
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.789,20.385,3.002
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.874,8.542,1.713
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1985.956,10.873,1.705
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.041,5.766,1.152
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.123,10.614,1.842
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.203,18.289,2.774
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.288,14.585,2.521
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.370,5.110,1.114
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.455,10.065,1.893
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.537,12.665,2.334
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.622,8.404,1.813
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.707,7.074,1.371
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.789,13.584,2.283
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.874,9.076,1.814
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1986.956,4.838,0.838
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.041,17.668,2.612
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.123,4.187,0.895
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.203,29.211,3.340
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.288,13.402,2.403
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.370,10.863,1.978
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.455,13.970,2.547
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.537,7.205,1.526
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.622,10.550,1.916
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.707,9.163,1.660
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.789,14.911,2.436
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.874,12.678,1.883
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1987.956,21.408,2.628
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.041,5.654,1.071
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.123,5.597,1.106
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.205,6.154,1.227
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.290,12.064,2.114
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.371,14.713,2.498
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.456,6.508,1.374
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.538,9.783,1.805
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.623,12.833,2.306
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.708,14.201,2.375
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.790,16.233,2.492
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.874,3.238,0.688
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1988.956,4.630,0.917
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.041,6.521,1.370
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.123,6.387,1.238
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.203,17.282,2.640
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.288,1.868,0.369
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.370,22.834,3.025
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.455,15.529,2.648
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.537,17.055,2.835
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.622,15.989,2.569
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.707,20.172,3.029
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.789,13.984,1.966
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.874,15.240,2.410
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1989.956,4.248,0.893
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.041,11.456,1.739
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.123,3.824,0.751
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.203,12.183,1.945
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.288,14.733,2.344
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.370,6.962,1.402
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.455,17.223,2.797
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.537,12.157,2.241
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.622,10.066,1.952
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.707,15.788,2.663
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.789,9.727,1.886
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.874,28.809,3.094
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1990.956,15.309,2.223
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.041,9.666,1.496
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.123,5.608,1.124
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.203,7.119,1.410
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.288,12.113,2.110
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.370,7.458,1.586
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.455,6.959,1.537
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.537,6.485,1.343
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.622,14.967,2.557
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.707,22.246,3.184
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.789,15.594,2.729
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.874,18.126,2.717
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1991.956,2.256,0.508
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.041,6.784,1.172
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.123,5.112,1.053
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.205,3.151,0.717
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.290,17.230,2.758
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.371,7.670,1.472
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.456,13.490,2.407
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.538,8.716,1.758
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.623,7.718,1.435
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.708,19.355,2.954
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.790,16.763,2.659
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.874,10.783,1.805
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1992.956,9.292,1.415
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.041,3.873,0.800
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.123,8.784,1.526
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.203,10.058,1.920
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.288,6.762,1.402
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.370,12.064,2.251
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.455,7.505,1.426
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.537,10.168,1.984
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.622,15.796,2.659
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.707,16.491,2.764
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.789,17.199,2.782
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.874,18.691,2.588
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1993.956,5.842,1.122
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.041,8.210,1.220
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.123,4.941,0.956
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.203,13.188,2.244
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.288,10.245,1.801
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.370,13.030,2.295
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.455,5.344,1.084
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.537,3.571,0.761
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.622,12.508,2.269
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.707,17.257,2.578
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.789,3.679,0.799
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.874,7.822,1.420
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1994.956,2.613,0.543
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.041,14.894,1.716
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.123,11.133,2.120
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.203,11.934,1.915
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.288,11.817,2.126
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.370,16.424,2.745
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.455,10.445,2.027
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.537,5.795,1.241
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.622,8.553,1.735
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.707,11.469,2.094
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.789,22.146,3.115
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.874,7.551,1.225
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1995.956,11.702,1.780
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.041,10.701,1.524
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.123,13.906,2.190
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.205,7.235,1.316
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.290,12.378,2.115
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.371,7.939,1.468
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.456,13.892,2.487
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.538,14.553,2.469
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.623,14.684,2.548
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.708,8.216,1.525
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.790,21.073,2.963
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.874,24.229,2.920
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1996.956,15.293,2.221
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.041,6.591,1.129
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.123,1.671,0.393
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.203,11.394,2.057
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.288,12.851,2.233
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.370,16.228,2.626
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.455,8.958,1.661
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.537,6.183,1.341
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.622,14.972,2.609
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.707,7.292,1.449
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.789,7.076,1.398
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.874,2.298,0.485
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1997.956,0.855,0.264
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.041,6.367,1.150
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.123,15.765,2.451
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.203,11.993,1.998
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.288,17.424,2.808
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.370,11.833,1.919
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.455,17.337,2.613
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.537,11.344,2.050
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.622,10.163,2.005
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.707,12.729,2.227
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.789,14.220,2.281
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.874,16.033,2.558
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1998.956,4.275,0.788
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.041,14.013,1.870
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.123,4.642,0.849
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.203,9.597,1.700
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.288,9.849,1.851
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.370,17.789,2.777
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.455,6.177,1.288
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.537,15.195,2.638
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.622,7.899,1.616
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.707,5.762,1.193
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.789,22.686,3.236
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.874,12.557,1.580
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1999.956,11.602,1.879
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.041,4.061,0.762
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.123,9.565,1.659
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.205,14.071,2.246
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.290,9.540,1.804
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.371,10.034,1.790
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.456,20.818,3.036
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.538,18.561,2.798
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.623,4.875,1.017
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.708,11.231,2.188
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.790,12.551,2.299
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.874,12.981,2.297
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2000.956,6.346,0.991
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.041,5.574,1.128
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.123,5.276,0.980
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.203,6.679,1.330
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.288,5.377,1.131
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.370,17.819,2.742
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.455,7.410,1.534
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.537,7.519,1.397
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.622,10.820,2.107
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.707,16.959,2.796
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.789,17.927,2.808
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.874,12.124,2.092
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2001.956,18.483,2.268
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.041,9.285,1.749
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.123,13.574,2.382
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.203,8.881,1.797
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.288,19.277,3.001
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.370,6.346,1.295
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.455,5.289,1.123
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.537,16.179,2.700
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.622,10.774,1.957
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.707,11.509,1.851
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.789,15.433,2.537
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.874,4.121,0.876
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2002.956,6.514,1.229
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.041,4.128,0.863
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.123,8.462,1.562
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.203,9.909,1.776
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.288,13.112,2.377
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.370,9.327,1.804
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.455,5.033,1.113
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.537,20.845,3.038
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.622,10.127,2.071
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.707,17.099,2.716
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.789,18.595,2.886
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.874,2.572,0.549
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2003.956,1.680,0.411
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.041,3.676,0.713
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.123,9.052,1.736
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.205,12.162,2.327
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.290,13.933,2.552
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.371,23.170,3.144
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.456,8.664,1.795
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.538,10.480,1.907
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.623,9.462,1.917
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.708,12.785,2.342
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.790,14.751,2.562
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.874,13.022,2.204
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2004.956,13.562,2.130
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.041,6.721,1.267
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.123,16.268,2.677
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.203,12.051,2.215
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.288,14.679,2.547
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.370,11.530,2.196
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.455,12.019,2.343
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.537,8.305,1.583
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.622,9.584,1.755
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.707,14.959,2.445
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.789,17.859,2.574
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.874,13.820,2.172
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2005.956,6.863,1.163
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.041,9.511,1.470
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.123,10.949,1.626
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.203,13.968,2.337
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.288,11.339,2.120
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.370,12.144,2.282
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.455,10.962,2.104
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.537,9.146,1.870
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.622,5.959,1.186
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.707,5.894,1.250
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.789,11.953,1.937
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.874,11.278,1.928
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2006.956,9.298,1.511
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.041,-0.166,0.042
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.123,4.416,0.933
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.203,10.856,2.086
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.288,8.337,1.606
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.370,23.972,3.150
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.455,13.353,2.505
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.537,10.197,1.974
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.622,10.882,2.098
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.707,20.802,2.909
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.789,11.840,2.091
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.874,3.444,0.740
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2007.956,19.802,2.846
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2008.041,6.139,1.116
Hansen,SBM,Zwally,1.000,462960.000,462910.482,2008.123,11.836,2.063
